Choi_train                              	Shaggy Ridge                                                                                        	Its only major battle during this period was the capture of                                                                                                                                                                                                                                                 	|on 27-28 December .                                                                                                                                                                                                                                                                                         
Choi_train                              	execution                                                                                           	In a statement published by the Malaysian news agency Bernama , Mahathir said that `` the                                                                                                                                                                                                                   	|was decided by war criminals-LRB-the American President George Bush and the British prime minister , Tony Blair-RRB - . ``                                                                                                                                                                                  
Choi_train                              	Music in the Mountains                                                                              	A guest performer at the George Enescu Festival and the Barcelona Cultural Olympiad , he was also concerto soloist with the Timisoara '' Banatul '' Philharmonic , Sinfonietta Hungarica , Brevard Music Center Orchestra ,                                                                                 	|Festival Orchestra , the New Haven Symphony Orchestra and others .                                                                                                                                                                                                                                          
Choi_train                              	The split                                                                                           	                                                                                                                                                                                                                                                                                                            	|has been driven by a desire to present two simple stories to investors rather than one complex one .                                                                                                                                                                                                        
Choi_train                              	The first event                                                                                     	                                                                                                                                                                                                                                                                                                            	|was a performance with Stevie Wonder at Super Bowl XXXIII in Miami .                                                                                                                                                                                                                                        
Choi_train                              	1987                                                                                                	Reggie Lewis -LRB- November 21 , 1965 - July 27 , 1993 -RRB- was an American professional basketball player for the NBA 's Boston Celtics from                                                                                                                                                              	|to 1993 .                                                                                                                                                                                                                                                                                                   
Choi_train                              	January                                                                                             	Xinhua News Agency , Beijing ,                                                                                                                                                                                                                                                                              	|5 , by wire                                                                                                                                                                                                                                                                                                 
Choi_train                              	causes of the massacres                                                                             	October 5 & ndash ; Austria , Britain , France , Prussia and the Ottoman Empire form a commission to investigate the                                                                                                                                                                                        	|of Maronite Christians , committed by Druzes in Lebanon earlier in the year .                                                                                                                                                                                                                               
Choi_train                              	1890 election                                                                                       	He was re-elected in the 1887 general election and represented Kaiapoi until the                                                                                                                                                                                                                            	|, when he retired from the lower house .                                                                                                                                                                                                                                                                    
Choi_train                              	the events                                                                                          	For those unfamiliar with the story behind KOTOR , reading up on Darth Revan should bring you up to speed on                                                                                                                                                                                                	|so far .                                                                                                                                                                                                                                                                                                    
Choi_train                              	1971-72 Los Angeles Lakers season                                                                   	The Chicago Bulls narrowly missed back-to-back 70 win seasons , going 69-13 , tying the second best all-time record -LRB- with the                                                                                                                                                                          	|-RRB- .                                                                                                                                                                                                                                                                                                     
Choi_train                              	Thirty Years ' War                                                                                  	Despite this , the castle was besieged , conquered , and sacked a total of eight times during the                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	the event                                                                                           	In an ironic twist , Kobayashi went on stage after                                                                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	PGA Championship                                                                                    	The 1982 PGA Championship was the 64th                                                                                                                                                                                                                                                                      	|held from August 5-8 at Southern Hills Country Club in Tulsa , Oklahoma .                                                                                                                                                                                                                                   
Choi_train                              	Japanese Occupation                                                                                 	During the                                                                                                                                                                                                                                                                                                  	|, a number of local Malays formed resistance groups and carried out guerrilla warfare against the Japanese .                                                                                                                                                                                                
Choi_train                              	1996                                                                                                	Eurolaul 2007 was held on 3 February 2007 at the ETV TV Studios in Tallinn , hosted by Marko Reikop & amp ; Maarja-Liis Ilus -LRB- Estonian entry to the                                                                                                                                                    	|and 1997 contests -RRB- .                                                                                                                                                                                                                                                                                   
Choi_train                              	execution                                                                                           	And in Afghanistan a man faces possible                                                                                                                                                                                                                                                                     	|for converting to Christianity in violation of Islamic law .                                                                                                                                                                                                                                                
Choi_train                              	Senate of France                                                                                    	Antoine Lefevre -LRB- born 18 February 1966 -RRB- is a French politician and a member of the                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
